Aerial & pole studios - edit
Aerial & pole studios,,,,,
Longitude,Latitude,Z,Name,Note,URL
-74.0610622,4.6791132,0,-Company Airdancelive Dance and aerobatics,,
-2.592312,51.442613,0,360 Pole Dancing,,
-66.9086707,10.4999996,0,360° AERIAL GROUP,,
-75.7481196,45.3750792,0,3Sixty Dance and Fitness,,
17.0039998,51.085611,0,4Stars Dance & Aerial Studio,,
18.6076595,49.9560188,0,4STARS Dance & Aerial Studio,,
145.2380291,-37.9101246,0,5D Squad,,
9.7482138,47.4215529,0,7th Heaven Aerial Arts Academy,,
9.533625,47.2167115,0,7th Heaven Aerial Arts GmbH,,
-16.3233863,28.4893733,0,"9 Dragones — Centro de Pole Dance, Pilates, Flexiblidad y Terapias Energéticas en La Laguna",,
-122.6604988,45.5358847,0,A-WOL Dance Collective,,
13.8327071,41.4948751,0,A.S.D. Aerial Academy,,
15.0709297,37.508074,0,"A.s.d. Centro studi danza ""Lo Schiaccianoci""",,
-82.6557482,27.8607759,0,A&G Aerial Arts,,
10.5108238,43.8274639,0,Abacada Luna Lucca- Pole Dance and Aerial Arts Studio,,
-84.079853,34.0393831,0,Above Ground Aerial Arts LLC,,
-106.554425,35.1224885,0,ABQ Circus Arts,,
-43.3497164,-21.7632887,0,Abracatrupe agora é Volare,,
153.0043228,-26.695804,0,Absolute Aerials,,
-75.4301317,40.6255432,0,Abstract Aerial Academy,,
-9.1783919,38.7025124,0,Academia de Pole Dance,,
-73.5370794,45.5678583,0,"Académie de Cirque de Montréal (trapèze volant, aériens, pole dance, tissu, cerceau, et plus)",,
15.0032077,37.5212868,0,ACADEMY MALÙ DANZA AEREA CATANIA,,
-106.5438695,31.8147931,0,Academy of Aerial Fitness,,
0.748733,52.2402941,0,Academy Of Movement,,
-1.2539122,52.3815506,0,academy of pole,,
14.2707741,40.8598848,0,Accademia Pole Dance e Arti Aeree,,
151.2027313,-33.9155865,0,Achieve Pole Studio Sydney (Rosebery),,
30.9782122,30.0304182,0,Acro Fit Egypt,,
-80.1606943,25.9142544,0,Acro Gravity Academy,,
-80.0623981,26.7018472,0,Acro-Dance Company,,
-8.4778707,54.3214337,0,AcroAer Ltd,,
8.5886861,39.9124873,0,ACROBATICA AEREA ORISTANO,,
2.1267099,41.3949341,0,Acrobatics School by Xevi & Eli,,
-3.7126802,40.3946284,0,Acrobatics School Fedriani,,
26.0700898,44.4201508,0,Acrobatika,,
17.1538485,48.1638988,0,Acrobatix - aerial arts academy,,
-75.2986186,40.3301708,0,"AcroDynamics, Inc",,
-122.6805662,49.1124634,0,AcroFit Aerial Fitness,,
35.5345385,33.8759863,0,Acrogym,,
0,0,0,"AcroPole - C. del Río Bravo, 7",,
121.4505053,25.0185258,0,Acrosphere Aerial Circus Arts,,
-122.455487,37.7658835,0,AcroSports,,
-99.1433376,19.3923283,0,"Acroyoga, Pan y Circo",,
